Rebecca Banner, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Rebecca_Banner 
Brian Banner, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Brian_Banner 
Bantam, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Bantam 
Baphomet, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Baphomet 
Barbarus, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Barbarus 
Eli Bard, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Eli_Bard 
Bucky Barnes, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Bucky_Barnes 
Baron Blood, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Baron_Blood 
Baron Brimstone, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Baron_Brimstone 
Baron Mordo, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Baron_Mordo 
Baron Samedi, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Baron_Samedi 
Baron Strucker, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Baron_Strucker 
Baron Zemo, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Baron_Zemo 
Barracuda, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Barracuda 
Barrage, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Barrage 
Turk Barrett, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Turk_Barrett 
Breeze Barton, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Breeze_Barton 
Base, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Base 
Basilisk, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Basilisk 
Battleaxe, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Battleaxe 
Battlestar, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Battlestar 
Batwing, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Batwing 
Baymax, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Baymax 
Beast, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Beast 
Beautiful Dreamer, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Beautiful_Dreamer 
Bedlam, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Bedlam 
Beef, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Beef 
Beetle, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Beetle 
Bei the Blood Moon, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Bei_the_Blood_Moon 
Bela, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Bela 
Belasco, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Belasco 
Bella Donna, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Bella_Donna 
Belladonna (Narda Ravanna), https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Belladonna_(Narda_Ravanna) 
Bellona, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Bellona 
Bengal, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Bengal 
Dexter Bennett, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Dexter_Bennett 
Bereet, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Bereet 
Berserker, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Berserker 
Berzerker, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Berzerker 
Beta Ray Bill, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Beta_Ray_Bill 
Beyonder, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Beyonder 
Bi-Beast, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Bi-Beast 
Big Bertha, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Big_Bertha 
Big Guy, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Big_Guy 
Big Man, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Big_Man 
Big Wheel, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Big_Wheel 
Bird-Brain, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Bird-Brain 
Bird-Man, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Bird-Man 
Biri, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Biri 
Bishop, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Bishop 
Derek Bishop, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Derek_Bishop 
Eleanor Bishop, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Eleanor_Bishop 
Bison, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Bison 
Black Ant, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Black_Ant 
Black Bolt, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Black_Bolt 
Black Box, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Black_Box 
Black Cat, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Black_Cat 
Black Catfish, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Black_Catfish 
Black Crow, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Black_Crow 
Black Dwarf, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Black_Dwarf 
Black Fox, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Black_Fox 
